6983 aggregated trades from 04/20/2020 20:40:00 to 04/20/2020 20:55:05 (timestamp;price;isClosing5MinCandlePrice)
1587415345347;6849.48;0
1587415345740;6849.11;0
1587415345740;6849.04;0
1587415345740;6849.0;0
1587415346316;6849.14;0
1587415347095;6849.17;0
1587415347292;6849.18;0
1587415347601;6849.17;0
1587415347688;6849.17;0
1587415347796;6849.17;0
1587415347902;6849.17;0
1587415348454;6849.14;0
1587415348725;6849.14;0
1587415349309;6849.14;0
1587415349526;6849.14;0
1587415349800;6849.31;0
1587415349800;6849.14;0
1587415349854;6849.14;0
1587415350426;6849.14;0
1587415351001;6849.14;0
1587415351105;6849.14;0
1587415351219;6849.14;0
1587415351437;6849.14;0
1587415351448;6849.14;0
1587415351448;6849.06;0
1587415351735;6849.56;0
1587415351770;6849.56;0
1587415352157;6849.06;0
1587415352571;6849.06;0
1587415352915;6849.56;0
1587415353325;6849.06;0
1587415353973;6849.06;0
1587415354032;6849.67;0
1587415354216;6849.06;0
1587415354383;6849.07;0
1587415354440;6849.59;0
1587415354503;6849.07;0
1587415354503;6849.06;0
1587415354615;6849.06;0
1587415354806;6849.07;0
1587415354905;6849.07;0
1587415354908;6849.07;0
1587415355014;6849.07;0
1587415355124;6849.07;0
1587415355228;6849.07;0
1587415355430;6849.07;0
1587415355655;6849.06;0
1587415355700;6849.06;0
1587415356366;6849.07;0
1587415356369;6849.07;0
1587415356689;6849.17;0
1587415356811;6849.11;0
1587415356811;6849.06;0
1587415356852;6849.06;0
1587415357069;6849.65;0
1587415357069;6849.69;0
1587415357069;6849.8;0
1587415357069;6849.89;0
1587415357069;6850.27;0
1587415357069;6850.34;0
1587415357069;6850.35;0
1587415357069;6850.71;0
1587415357069;6850.72;0
1587415357069;6850.73;0
1587415357069;6850.83;0
1587415357069;6851.01;0
1587415357069;6851.02;0
1587415357069;6851.04;0
1587415357069;6851.07;0
1587415357069;6851.2;0
1587415357069;6851.21;0
1587415357069;6851.25;0
1587415357069;6851.35;0
1587415357069;6851.36;0
1587415357069;6851.39;0
1587415357069;6851.42;0
1587415357069;6851.54;0
1587415357069;6851.6;0
1587415357069;6851.63;0
1587415357069;6851.68;0
1587415357069;6851.94;0
1587415357069;6852.26;0
1587415357069;6852.27;0
1587415357069;6852.28;0
1587415357069;6852.33;0
1587415357069;6852.34;0
1587415357069;6852.41;0
1587415357069;6852.52;0
1587415357069;6852.64;0
1587415357069;6852.77;0
1587415357069;6852.78;0
1587415357069;6852.89;0
